,taxid,count_star()
559,86265,5709
560,103816,4825
561,632773,3245
562,55212,74
563,2150,3
564,447425,3945
565,225906,1
566,376804,2446
567,1907,6550
568,864828,6195
569,645616,4508
570,589035,5113
571,81475,3098
572,338188,4159
573,1828,4968
574,462367,4178
575,1026,4702
576,75105,9021
577,450,3460
578,36821,4691
579,59405,3356
580,81028,2522
581,104268,2966
582,28031,4686
583,274,2227
584,29522,2438
585,946678,4825
586,1768,8047
587,1392,5493
588,751,2011
589,254785,15
590,1443036,1636
591,304207,3281
592,1334,2396
593,270351,7239
594,165758,9
595,215590,3370
596,1034015,3117
597,54259,1510
598,387340,3113
599,118062,2340
600,148448,4334
601,60847,3894
602,36738,4078
603,100468,3052
604,317658,2050
605,492670,4238
606,1465635,5282
607,405446,3645
608,40571,8155
609,762833,5
610,1131703,3007
611,579105,2974
612,758802,5474
613,248316,3
614,39693,42
615,34061,2140
616,2020,4888
617,1329262,3612
618,396322,3
619,335431,2550
620,873191,2894
621,228596,8
622,1420917,4259
623,156981,4041
624,299767,4617
625,194673,8486
626,53451,5456
627,370524,5746
628,165096,1281
629,487514,5178
630,254161,3588
631,685454,11288
632,662960,2851
633,44749,3771
634,901,2530
635,1510,26
636,29471,4459
637,589873,3445
638,470815,3220
639,459472,3811
640,1806,27
641,47760,7750
642,928210,3
643,506591,2
644,165813,2836
645,216932,1218
646,48296,3598
647,364098,4
648,46204,5
649,169679,4355
650,451644,7054
651,875171,4198
652,82993,3875
653,47855,6195
654,434464,1670
655,252,2875
656,696760,4735
657,1740721,5307
658,52690,4
659,376727,6
660,577,7802
661,879276,2
662,547334,3261
663,591202,4947
664,354240,1
665,66423,6682
666,1396819,3931
667,1341726,1
668,228957,3693
669,880157,3857
670,34059,1904
671,171282,753
672,123841,1535
673,43772,12
674,847,2076
675,92757,2
676,285451,6
677,38310,4163
678,332591,5
679,433840,4320
680,670079,3824
681,113567,10138
682,40578,3631
683,1750599,4227
684,1281,2621
685,995060,4397
686,295352,5
687,118367,9
688,1225769,3628
689,206249,2
690,1004583,5
691,384613,6
692,56807,4036
693,364039,1
694,1393122,2347
695,47959,3
696,375761,4531
697,257281,10
698,59892,1
699,52560,3741
700,1544732,8527
701,414771,7234
702,254719,1
703,1346684,4
704,83765,2769
705,47762,17
706,1265,3184
707,403962,4
708,75684,1
709,47490,2782
710,34071,3
711,545534,3
712,1133364,1
713,529005,3274
714,758,3865
715,281920,1955
716,76636,4
717,265948,3480
718,39844,7573
719,114884,1
720,311194,1
721,29427,5560
722,231233,8
723,345342,1
724,450367,5067
725,390242,4974
726,82991,4337
727,188915,3975
728,185949,4644
729,33888,2806
730,40216,3015
731,33922,955
732,260085,4138
733,299152,5581
734,91623,3
735,500615,3643
736,709509,2203
737,29304,10
738,671,4347
739,483545,4067
740,60450,7323
741,229007,3691
742,657014,3839
743,1490225,1
744,220685,5206
745,137584,5796
746,1176243,3330
747,68219,57
748,556499,2906
749,269666,8
750,1905,48
751,941907,2739
752,1193500,3724
753,321266,4014
754,191026,3543
755,47493,1852
756,491919,6
757,106412,9643
758,423477,1931
759,441151,1
760,452629,4082
761,54910,5729
762,1529,3342
763,1404,5606
764,2078,4718
765,1128677,5364
766,1580,2201
767,718193,3939
768,703,3377
769,115783,3290
770,1086,2870
771,173675,4016
772,137658,5180
773,824,2846
774,1902,8038
775,56193,4954
776,2051,1904
777,343013,3855
778,1296540,2063
779,1625,1263
780,51201,12
781,68043,8039
782,2424,1725
783,371042,5082
784,361277,3607
785,1069220,4077
786,198620,5799
787,215200,1869
788,208224,5137
789,942866,5987
790,1036778,5472
791,60922,3681
792,395631,16
793,1796,5758
794,13264,32
795,1017,2587
796,1117645,3758
797,1176198,5234
798,281362,3886
799,668,3813
800,279356,3987
801,415425,2883
802,2074,6859
803,490829,3753
804,1272,2510
805,93219,5131
806,254356,3887
807,72026,1566
808,132919,9075
809,157733,3973
810,34010,2
811,59733,4013
812,504797,6155
813,28135,3299
814,1694,1573
815,46180,12120
816,747076,3554
817,413402,3826
818,651662,4175
819,29332,3879
820,1246,1614
821,544480,4646
822,253703,4663
823,323284,3807
824,1650571,18
825,74701,3072
826,340021,3260
827,367474,4154
828,498292,2357
829,323412,3416
830,68245,10
831,39650,3929
832,1054996,3958
833,329936,5202
834,1229,2995
835,29419,1800
836,277988,2276
837,29288,4153
838,2209,3460
839,54313,4322
840,1810,5949
841,910542,5
842,930129,4578
843,35701,2924
844,433647,2302
845,504798,6583
846,33905,1838
847,1249,1952
848,1312182,13
849,235986,8673
850,1073325,3479
851,1589,3459
852,408074,5564
853,228006,8976
854,985055,3251
855,91822,3101
856,105972,1
857,1754012,2297
858,714,2315
859,1344948,3912
860,28045,4310
861,270914,2808
862,1450165,38
863,1105143,8197
864,1208324,4665
865,548,6173
866,685,4064
867,186116,3562
868,414,2925
869,86103,2427
870,1517702,4011
871,104098,2457
872,459347,1
873,861,3537
874,126673,3539
875,1458,3
876,33959,1809
877,359359,1
878,556532,9862
879,543629,2
880,564198,5602
881,113560,9700
882,69219,19
883,37930,8
884,52443,5392
885,1689449,3082
886,1267769,4615
887,1365,1843
888,2734,3313
889,204773,3272
890,28227,1028
891,905,2016
892,1057,18
893,1539050,5757
894,96229,3
895,455361,3943
896,216427,716
897,797292,3405
898,622671,3369
899,75697,3575
900,589382,3436
901,380675,5348
902,35,7112
903,29489,3749
904,426707,4
905,998,3664
906,796379,2459
907,1087332,3616
908,246191,3377
909,63128,4671
910,1431282,1
911,682400,2857
912,37484,2
913,748120,2146
914,136857,2543
915,227944,1904
916,348818,10
917,225917,12
918,36819,8603
919,453852,3783
920,880156,4031
921,98513,4392
922,367743,2797
923,228602,8970
924,35519,1655
925,81947,1736
926,51161,1624
927,1267156,4
928,913948,5
929,1720557,3
930,329523,5
931,227942,1269
932,294935,3994
933,571912,9744
934,392012,2
935,157842,2
936,305719,2480
937,114628,1
938,185642,5549
939,153493,2247
940,188913,2974
941,62629,1
942,52704,3379
943,2112,677
944,46203,3
945,234908,1
946,33884,5
947,61623,1
948,44672,2
949,333297,3
950,1914243,1
951,126569,2
952,710191,1
953,483896,2
954,242129,1
955,155085,2238
956,145458,1904
957,245,2995
958,78448,1652
959,907463,6490
960,1197717,3049
961,1572644,3249
962,571256,4793
963,51664,1691
964,416872,3426
965,111831,3383
966,186931,3764
967,364296,4
968,55085,19
969,357760,6
970,82135,1243
971,396504,3674
972,66431,59
973,200991,3386
974,1734049,2966
975,1720294,5646
976,393251,5258
977,2052,2379
978,1284,2305
979,1656,2829
980,289370,4705
981,2017,6533
982,68291,1
983,1274,2255
984,164759,3584
985,281186,2
986,247,3568
987,161920,3431
988,856,3007
989,52769,4
990,979,3281
991,39486,3357
992,1358,3114
993,103618,1546
994,191391,6279
995,1218507,1902
996,1459,5125
997,28885,2330
998,121616,6623
999,1137989,4534
1000,867345,2463
1001,135080,2117
1002,1130819,5145
1003,405444,3493
1004,88189,3
1005,69365,3
1006,2149,704
1007,286727,6713
1008,474394,4312
1009,351675,4415
1010,528244,6133
1011,55969,2703
1012,152480,7124
1013,417367,3570
1014,365590,4068
1015,135626,8
1016,1174501,5938
1017,1048,3326
1018,1280637,7956
1019,1570,4100
1020,571915,3046
1021,453304,3698
1022,119858,4659
1023,53483,3342
1024,36816,6882
1025,76112,3836
1026,108980,3510
1027,1502,2721
1028,46677,4626
1029,1556,2839
1030,1124835,5492
1031,592050,7020
1032,47882,4567
1033,395600,5935
1034,1015,2120
1035,47880,4459
1036,576610,130
1037,65959,2402
1038,317735,3244
1039,28454,5707
1040,243629,4474
1041,80842,5282
1042,1259973,5297
1043,34105,1431
1044,40518,2165
1045,82633,6446
1046,466044,3802
1047,1288494,2855
1048,1802,18
1049,1071918,2118
1050,234835,3490
1051,706427,3059
1052,28095,7351
1053,223919,4930
1054,426701,2280
1055,1082580,4730
1056,1138190,18
1057,237611,4230
1058,36814,6105
1059,262004,3955
1060,1069,3513
1061,143495,3776
1062,889268,48
1063,264297,3583
1064,1184688,1
1065,1426,4176
1066,66872,8
1067,515947,2
1068,273793,1
1069,818,4782
1070,150056,104
1071,706570,3275
1072,83784,5332
1073,40982,6
1074,46176,10251
1075,44935,3892
1076,39482,5062
1077,2382,2632
1078,215220,3608
1079,912594,5893
1080,49278,3458
1081,580165,4122
1082,67381,4993
1083,386892,3787
1084,374838,4236
